,Taxon,n_plots,min_rank,mean_rank,site_id,,collected from,Regional taxon nutnet ,Remarks from the field,
1,ACHILLEA MILLEFOLIUM,21,5,7.619047619,cdcr.us,,kbs,ACHILLEA MILLEFOLIUM,,
2,AGROSTIS CAPILLARIS,1,11,11,cdcr.us,,,,AGROSTIS CAPILLARIS or Alba?,Mistake ID ?? Based on Anita
3,AGROSTIS SCABRA,18,2,5.666666667,cdcr.us,,crdr,AGROSTIS SCABRA,,
4,ANDROPOGON GERARDII,48,1,2.458333333,cdcr.us,,konz,ANDROPOGON GERARDII,,
5,ANTENNARIA NEGLECTA,7,3,6.714285714,cdcr.us,,konz,ANTENNARIA NEGLECTA,,
6,ASCLEPIAS OVALIFOLIA,2,6,7,cdcr.us,,crdr,ASCLEPIAS OVALIFOLIA,,
7,ASCLEPIAS SYRIACA,2,9,9.5,cdcr.us,,kbs,ASCLEPIAS SYRIACA,,
8,BERTEROA INCANA,6,4,6.666666667,cdcr.us,,crdr,BERTEROA INCANA,,
9,CAREX SCOPARIA,15,1,4.066666667,cdcr.us,,,CAREX SCOPARIA,,
10,CAREX SP.,41,1,4.951219512,cdcr.us,,crdr,,,
11,CHENOPODIUM ALBUM,5,2,5.2,cdcr.us,,sgs,CHENOPODIUM ALBUM,,
12,CONYZA CANADENSIS,9,4,7.222222222,cdcr.us,,konz,CONYZA CANADENSIS,,
13,CYPERUS GRAYI,2,5,7,cdcr.us,,,CYPERUS GRAYI,,
14,CYPERUS SCHWEINITZII,2,9,9,cdcr.us,,crdr,CYPERUS SCHWEINITZII,,
15,CYPERUS SP.,6,5,7,cdcr.us,,,ECHINACEA SEROTINA,,
16,DANTHONIA SPICATA,3,5,7,cdcr.us,,crdr,DANTHONIA SPICATA,,
17,ECHINACEA SEROTINA,2,4,7,cdcr.us,,,,Cyperus,
18,ELYMUS REPENS,33,1,3.757575758,cdcr.us,,spin,ELYMUS REPENS,,
19,ERAGROSTIS SPECTABILIS,2,4,5.5,cdcr.us,,crdr,ERAGROSTIS SPECTABILIS,,
20,ERIGERON CANADENSIS,7,5,7.714285714,cdcr.us,,crdr,ERIGERON CANADENSIS,,
21,ERIGERON STRIGOSUS,2,9,10.5,cdcr.us,,crdr,ERIGERON STRIGOSUS,,
22,FALLOPIA CONVOLVULUS,2,6,8,cdcr.us,,crdr,FALLOPIA CONVOLVULUS,,
23,FRAGARIA VIRGINIANA,1,9,9,cdcr.us,,crdr,FRAGARIA VIRGINIANA,,
24,HELIANTHEMUM BICKNELLII,1,7,7,cdcr.us,,crdr,HELIANTHEMUM BICKNELLII,,
25,HIERACIUM LONGIPILUM,1,9,9,cdcr.us,,crdr,HIERACIUM LONGIPILUM,,
26,LESPEDEZA CAPITATA,4,6,8.5,cdcr.us,,crdr,LESPEDEZA CAPITATA,,
27,LYCHNIS LATIFOLIA SSP. ALBA,1,6,6,cdcr.us,,spin,SILENE LATIFOLIA,,
28,MOLLUGO VERTICILLATA,4,5,7.75,cdcr.us,,crdr,MOLLUGO VERTICILLATA,,
29,MONARDA FISTULOSA,1,7,7,cdcr.us,,crdr,MONARDA FISTULOSA,,
30,OENOTHERA BIENNIS,1,7,7,cdcr.us,,crdr,OENOTHERA BIENNIS,,
31,OENOTHERA RHOMBIPETALA,2,8,10,cdcr.us,,,,ID mistaken from very beginning,
32,PANICUM CAPILLARE,4,4,6.25,cdcr.us,,,PANICUM CAPILLARE,,
33,PANICUM OLIGOSANTHES,3,6,9.333333333,cdcr.us,,konz,PANICUM OLIGOSANTHES,,
34,PANICUM PERLONGUM,2,8,9,cdcr.us,,crdr,PANICUM PERLONGUM,,
35,PHYSALIS VIRGINIANA,1,7,7,cdcr.us,,konz,PHYSALIS VIRGINIANA,,
36,POA PRATENSIS,59,1,2.661016949,cdcr.us,,konz,POA PRATENSIS,,
37,POTENTILLA NORVEGICA,2,7,7.5,cdcr.us,,crdr,POTENTILLA NORVEGICA,,
38,RUDBECKIA HIRTA,1,9,9,cdcr.us,,crdr,RUDBECKIA HIRTA,,
39,RUMEX ACETOSELLA,14,4,5.785714286,cdcr.us,,crdr,RUMEX ACETOSELLA,,
40,SCHIZACHYRIUM SCOPARIUM,55,1,2.636363636,cdcr.us,,konz,SCHIZACHYRIUM SCOPARIUM,,
41,SETARIA PUMILA,7,4,6.571428571,cdcr.us,,crdr,SETARIA PUMILA,,
42,SOLIDAGO GIGANTEA,2,7,7.5,cdcr.us,,crdr,SOLIDAGO GIGANTEA,,
43,SOLIDAGO MISSOURIENSIS,20,2,5.2,cdcr.us,,konz,SOLIDAGO MISSOURIENSIS,,
44,SOLIDAGO NEMORALIS,9,4,6.888888889,cdcr.us,,crdr,SOLIDAGO NEMORALIS,,
45,SOLIDAGO RIGIDA,6,7,7.666666667,cdcr.us,,crdr,SOLIDAGO RIGIDA,,
46,SOLIDAGO SP.,2,5,7,cdcr.us,,,,,
47,SOLIDAGO SPECIOSA,3,2,4,cdcr.us,,crdr,SOLIDAGO SPECIOSA,,
48,TOXICODENDRON RADICANS,2,4,6,cdcr.us,,crdr,TOXICODENDRON RADICANS,,
49,VERBASCUM THAPSUS,3,6,7.666666667,cdcr.us,,crdr,VERBASCUM THAPSUS,,
50,VICIA VILLOSA,1,5,5,cdcr.us,,elliot,VICIA VILLOSA,,
